instance_seed,alpha,tuning_seed,achieved_H,params
0,0.003,1,0.03283504,"[2.583078914472789, 5.0025819810108665]"
0,0.003,2,0.03283608,"[2.5829356090495272, 4.994799385621797]"
0,0.003,3,0.03283701,"[2.582523411041072, 4.990791611999483]"
0,0.003,4,0.03283577,"[2.5830578730330296, 4.996610484336416]"
0,0.003,5,0.03284307,"[2.582066766464338, 4.973592254639675]"
0,0.003,6,0.03283647,"[2.5831059444608955, 4.992828852190318]"
0,0.003,7,0.03283603,"[2.583267284829414, 4.995257935038972]"
0,0.003,8,0.03283622,"[2.5828669178768084, 4.994108510002905]"
0,0.003,9,0.03283541,"[2.5829429608071814, 4.999148819617428]"
0,0.003,10,0.03283527,"[2.582663987681312, 5.0010959708660065]"
0,0.003,11,0.03283828,"[2.582924588410014, 4.985699910569697]"
0,0.003,12,0.03283534,"[2.583163377978563, 4.999643587534519]"
0,0.003,13,0.03283791,"[2.5830474435351714, 4.987007934790692]"
0,0.003,14,0.03283546,"[2.5830528499694, 4.998657806911203]"
0,0.003,15,0.03283676,"[2.58246014471403, 4.9920898890594545]"
0,0.003,16,0.03283708,"[2.582765329743459, 4.990162846485678]"
0,0.003,17,0.03283628,"[2.5831489615237984, 4.9938009894971485]"
0,0.003,18,0.03283495,"[2.583144565866989, 5.003768575314249]"
0,0.003,19,0.03283502,"[2.583118190820963, 5.0027593227051215]"
0,0.003,20,0.03283533,"[2.5827607675171267, 5.000095528691188]"
0,0.003,21,0.0328365,"[2.5830644403894656, 4.992672420633348]"
0,0.003,22,0.03283507,"[2.583192875309249, 5.002233981169315]"
0,0.003,23,0.03283651,"[2.5826371178481184, 4.9929088133421]"
0,0.003,24,0.03283784,"[2.5829070750294387, 4.987210635274038]"
0,0.003,25,0.03283751,"[2.582876366393793, 4.988419121454398]"
0,0.003,26,0.03283766,"[-0.5590362640603467, 4.988092704601313]"
0,0.003,27,0.03283538,"[2.583104547630791, 4.999284663339674]"
0,0.003,28,0.03283821,"[2.5831382505700815, 4.986014984311477]"
0,0.003,29,0.03284772,"[2.585197524253865, 4.970298786852897]"
0,0.003,30,0.03283691,"[2.5832362944474476, 4.990981399769939]"
0,0.003,31,0.03284141,"[2.5826322844364817, 4.976920184116827]"
0,0.003,32,0.03283504,"[2.583078951123227, 5.002533961188996]"
0,0.003,33,0.03283514,"[2.5831571375502915, 5.0014917643978904]"
0,0.003,34,0.03283532,"[2.5832085893003285, 4.99991614104071]"
0,0.003,35,0.03283749,"[2.583000633922719, 4.9885047145607775]"
0,0.003,36,0.03283619,"[2.582666797906446, 4.994478234877103]"
0,0.003,37,0.03283733,"[2.583074703752169, 4.989136346935577]"
0,0.003,38,0.03283698,"[2.5829654372027715, 4.990501790275438]"
0,0.003,39,0.03283892,"[2.5822935173581034, 4.9841813705598685]"
0,0.003,40,0.03283869,"[2.5831220407958964, 4.984474398408193]"
0,0.006,1,0.16490115,"[2.7678693238725187, 3.4518250086293145]"
0,0.006,2,0.16489806,"[2.767385528698738, 3.459815745702076]"
0,0.006,3,0.16491171,"[2.766779192096116, 3.434363183423506]"
0,0.006,4,0.16491195,"[2.766605137733518, 3.4341974523304426]"
0,0.006,5,0.16491765,"[2.767727063719156, 3.4288898644085997]"
0,0.006,6,0.16491174,"[2.766682067805417, 3.4343880341382205]"
0,0.006,7,0.16490654,"[2.7684825163603244, 3.5020802519682124]"
0,0.006,8,0.16490399,"[2.7674424302929213, 3.4455946101980546]"
0,0.006,9,0.16489756,"[2.768050460088517, 3.4815380817340773]"
0,0.006,10,0.16489791,"[2.7675530893888003, 3.4602731639246374]"
0,0.006,11,0.16490712,"[2.76742502460146, 3.4406950989833405]"
0,0.006,12,0.16489944,"[2.7676073302942967, 3.486800371594816]"
0,0.006,13,0.16490036,"[2.768281485924858, 3.4905211657129267]"
0,0.006,14,0.16489988,"[2.7675951451156853, 3.4541662536691127]"
0,0.006,15,0.16489984,"[2.7677913243271983, 3.4546332388309]"
0,0.006,16,0.16489811,"[2.7682222693755354, 3.483760486013285]"
0,0.006,17,0.1649633,"[2.7652261677132883, 3.393985418490299]"
0,0.006,18,0.16489809,"[2.767489027773723, 3.459581087114051]"
0,0.006,19,0.16492191,"[2.7665720614603875, 3.423454466420007]"
0,0.006,20,0.16489695,"[2.767652841952444, 3.465192483836698]"
0,0.006,21,0.16489953,"[2.7673696657131996, 3.4549969104389966]"
0,0.006,22,0.1648979,"[2.7680887141758173, 3.4830354462722948]"
0,0.006,23,0.16491189,"[2.7689850213403804, 3.509222948932053]"
0,0.006,24,0.16491487,"[2.7667735271451814, 3.430649562506841]"
0,0.006,25,0.16489681,"[2.7679569375742563, 3.477006078868729]"
0,0.006,26,0.1649406,"[2.76586988671127, 3.408355140627028]"
0,0.006,27,0.16489654,"[2.76790837281408, 3.4737044134368937]"
0,0.006,28,0.16489684,"[2.7677449774589418, 3.4660728467368798]"
0,0.006,29,0.16500377,"[2.7643139958307965, 3.3736012014426864]"
0,0.006,30,0.1649443,"[2.7651261707025077, 3.4067534281675678]"
0,0.006,31,0.16491978,"[2.7665210849254778, 3.42554567680387]"
0,0.006,32,0.16490551,"[2.7673014590344516, 3.4429755455500213]"
0,0.006,33,0.16493663,"[2.7669885239943115, 3.411495751839464]"
0,0.006,34,0.16490238,"[2.767187749435127, 3.448451886306896]"
