instance_seed,alpha,reps,tuning_seed,achieved_H,ideal_opt_mass,feasibility,qubo_min_is_optimum,params
1,0.003,2,1,-0.09746833,0.06548297,0.02291261,False,"[2.5118809717722845, 2.766160639086136, 2.4758935301563967, 5.716785109992793]"
1,0.003,2,2,-0.09238103,0.04952304,0.00847002,False,"[1.9347394033967351, 0.6107962559870317, 4.42325992030506, -1.4200682721777735]"
1,0.003,2,3,-0.08116807,0.0596008,0.02543592,False,"[2.8140219973994682, -0.3130557020016388, 3.473100384620064, 2.6639757777282265]"
1,0.003,2,4,-0.09396788,0.05064824,0.00734439,False,"[1.9713141576001163, 0.569780556793754, 4.3805753835891785, -1.6575007386996443]"
1,0.003,2,5,-0.09674849,0.04875332,0.00597587,False,"[1.9309605779998218, 0.5815489548152273, 3.834542025613027, -2.1706169015486134]"
1,0.003,2,6,-0.09463199,0.06190551,0.02787125,False,"[-0.5411759883689754, 2.784045745070826, 2.8754019425290176, 5.169592213008495]"
1,0.003,2,7,-0.09207361,0.04596616,0.00604094,False,"[1.2724382749747343, 2.6165437430614027, -1.9618751220867063, 4.300522704579977]"
1,0.003,2,8,-0.09598427,0.05025403,0.00685865,False,"[1.9319846721448868, 0.5944224964970216, 3.8746119304465165, -1.9979556127074498]"
1,0.003,2,9,-0.09574364,0.06193051,0.02528626,False,"[2.620930824313433, 2.813342020936002, 3.3571293975141914, 5.470851395336792]"
1,0.003,2,10,-0.09519115,0.06261372,0.02721827,False,"[2.5907822323101337, 2.7924030073478234, 2.874726753381862, 5.254526207696528]"
1,0.003,2,11,-0.09769642,0.05027721,0.00467054,False,"[1.1955306951104188, 2.616707557717915, -3.0425130063418395, 3.2422134324813383]"
1,0.003,2,12,-0.09522176,0.0485518,0.00640871,False,"[1.924674057028172, 0.6085393762376243, 4.123776813390156, -1.8410878249254883]"
1,0.003,2,13,-0.09377437,0.06253069,0.02829665,False,"[2.60781062336534, 2.8074667042619517, 2.8760184501162565, 5.037022827635746]"
1,0.003,2,14,-0.09267932,0.062156,0.02943715,False,"[-0.5351176207122118, 2.783786971145077, 2.6377241746247253, 4.905263647976958]"
1,0.003,2,15,-0.09651324,0.06209048,0.02695513,False,"[2.56748072536024, 2.816585465204623, 3.2855841733322118, 5.53556002024863]"
1,0.003,2,16,-0.09550372,0.04662047,0.00697993,False,"[1.8918676025413692, 0.6228692935848249, 3.910379481241765, -1.9238899904358666]"
1,0.003,2,17,-0.09559341,0.04892424,0.00547911,False,"[1.9584017047866937, 3.7187434635126353, 4.273470696324817, -1.9458639702611815]"
1,0.003,2,18,-0.09396714,0.04799387,0.00919563,False,"[1.8849922744262135, 3.77811372349949, 3.933932442880253, -1.6687770185283997]"
1,0.003,2,19,-0.09966706,0.06715652,0.01673553,False,"[-0.6661629602065053, 2.7540734303015855, 2.3888909026688627, 6.307669938830051]"
1,0.003,2,20,-0.08764752,0.06204833,0.02726983,False,"[2.7230346110047274, -0.31179338802593404, 3.058181637633732, 4.005254334640822]"
1,0.003,2,21,-0.07912372,0.05627935,0.0212201,False,"[2.8081677937133755, -0.26247713224815367, 4.327132083200812, 1.8933976681024385]"
1,0.003,2,22,-0.09891198,0.06608609,0.02050371,False,"[-0.6614438402198068, 2.745338036922806, 2.491293070374261, 6.007388350273313]"
1,0.003,2,23,-0.08436023,0.05978914,0.0256852,False,"[2.7656859566991527, 2.8485161167326507, 3.551960646317331, 3.259440512048695]"
1,0.003,2,24,-0.09621242,0.0634522,0.02629031,False,"[-0.5932531322459831, 2.7700934878975785, 2.6747043364698175, 5.436399790204009]"
1,0.003,2,25,-0.09377733,0.0633993,0.02580307,False,"[2.560076018518007, 2.741139723960949, 2.1631380742421653, 5.246381927196219]"
