instance_seed,alpha,reps,tuning_seed,achieved_H,ideal_opt_mass,feasibility,qubo_min_is_optimum,params
4,0.003,2,1,-0.02356603,0.10108017,0.08342775,False,"[2.4150788379086605, 2.74158552536661, 2.520851766906241, 5.138952948697438]"
4,0.003,2,2,-0.02360718,0.10025409,0.08474705,False,"[2.418952276553853, 2.7536024396606256, 2.6440508808382677, 5.1156094952613955]"
4,0.003,2,3,-0.00531907,0.08082845,0.08132851,False,"[2.6134118904093593, -0.35073612652357633, 3.208602189067724, 3.365214429235913]"
4,0.003,2,4,-0.02258423,0.09827945,0.08532699,False,"[2.4327568597221108, 2.747624588770223, 2.5787716239621146, 4.939887779684256]"
4,0.003,2,5,-0.02389343,0.10057548,0.0858012,False,"[2.4145011456958105, 2.760471944635418, 2.786004004520741, 5.191405487614857]"
4,0.003,2,6,-0.0223334,0.09824927,0.08704848,False,"[-0.7354803318578247, 2.7439419230317976, 2.5662499939886616, 4.925310111077236]"
4,0.003,2,7,-0.02162059,0.10092242,0.08063826,False,"[2.398154936689643, 2.713373821202149, 2.1731750930086555, 5.0720560493489995]"
4,0.003,2,8,-0.01945202,0.09271427,0.08708355,False,"[2.4806436497182283, 2.770166094922807, 2.8150007544620474, 4.57509661522838]"
4,0.003,2,9,-0.02298722,0.09848384,0.08715996,False,"[2.4276073384810344, 2.757356443186025, 2.802937267013669, 5.02991295425099]"
4,0.003,2,10,-0.02327361,0.09950169,0.0846207,False,"[2.426536003156419, 2.756721698222924, 2.6293451917648256, 5.058949666811981]"
4,0.003,2,11,-0.01336559,0.09416101,0.04537323,False,"[1.1704209820796347, 2.6316840449270824, -2.6324119973187767, 2.7812404982207255]"
4,0.003,2,12,-0.02267761,0.09927641,0.08392301,False,"[2.4314435166273882, 2.7348610059041247, 2.472076864580051, 4.989371811696808]"
4,0.003,2,13,-0.02398513,0.10143067,0.08403773,False,"[2.4120785704735264, 2.750617202782495, 2.626529876154107, 5.198753609768955]"
4,0.003,2,14,-0.01794432,0.09031668,0.08846241,False,"[2.4756994608021268, 2.7742034893588343, 2.799661582482159, 4.405351595291557]"
4,0.003,2,15,-0.0226164,0.09933579,0.08405781,False,"[2.4220488596815772, 2.736460900973719, 2.4476526418392557, 4.985427570231295]"
4,0.003,2,16,-0.02240463,0.09909751,0.08340399,False,"[-0.710081411409372, 2.7351724256013283, 2.418290850737074, 4.966907946404728]"
4,0.003,2,17,-0.02335374,0.10109709,0.08296078,False,"[2.4164369030058377, 2.7343581340152023, 2.464006629406926, 5.12657892808203]"
4,0.003,2,18,-0.01526503,0.08729581,0.08794635,False,"[2.504477870522446, 2.787100432279842, 2.983492808458442, 4.1962642542611714]"
4,0.003,2,19,-0.02456059,0.10390124,0.0822699,False,"[-0.7440899083121832, 2.7461788698588157, 2.5948240183395233, 5.381649804972717]"
4,0.003,2,20,-0.02150225,0.09647725,0.08528977,False,"[2.4494804437241298, -0.3904959336346371, 2.5427080955670887, 4.794306545221961]"
4,0.003,2,21,-0.00929621,0.08251116,0.0855989,False,"[2.57107108991793, 2.7679405466718285, 2.911100497878398, 3.646014015875185]"
4,0.003,2,22,-0.02341808,0.09987211,0.08605645,False,"[2.4161558225343533, 2.7467836852144947, 2.674666329746536, 5.081921933743571]"
4,0.003,2,23,-0.01632741,0.08878195,0.08783453,False,"[2.5023375184822565, 2.7652151952112423, 2.767304540312638, 4.237497948591965]"
4,0.003,2,24,-0.02304391,0.10017448,0.0831561,False,"[-0.7206606534210896, 2.743817342669607, 2.465996976770916, 5.06267401995206]"
4,0.003,2,25,-0.02384461,0.10175726,0.08381722,False,"[2.4066728561057236, 2.73978317820474, 2.5556109268577507, 5.191756203918206]"
4,0.003,2,26,-0.02316986,0.09997916,0.08393773,False,"[2.4263197498735884, 2.741023254061812, 2.527267842722199, 5.056373890557303]"
