T,m,seed,reps,dp_cost,qaoa_cost,exact_match,gap_abs,gap_pct,opt_prob_mass,feasibility_rate,qaoa_time_s,dp_time_s,brute_cost,brute_matches_dp,n_starts,shots,weight_mode,alpha,alpha_star,surrogate_optimal,ideal_opt_mass,qaoa_evals,maxiter,evals_censored,params,uniform_opt_mass,uniform_best_cost,mass_ratio,mass_ratio_is_upper_bound,shots_cover_space
2,6,0,1,0.22472262573254953,0.2247226257325495,True,-2.7755575615628914e-17,-1.2351037428986711e-14,0.059814453125,0.31787109375,2.7451656280027237,0.00015384300058940426,0.2247226257325495,True,5,4096,alphastar,0.021658937606326218,0.021658937606326218,True,0.06313463659510817,362,1000,False,2.8094896;0.949850532,0.015625,0.22472262573254953,3.828125,False,True
2,6,0,2,0.22472262573254953,0.2247226257325495,True,-2.7755575615628914e-17,-1.2351037428986711e-14,0.11865234375,0.419677734375,18.818303087995446,6.277300417423248e-05,0.2247226257325495,True,5,4096,alphastar,0.021658937606326218,0.021658937606326218,True,0.12468861082299251,2639,1000,False,2.705884;2.92432422;0.666249321;1.7028767,0.015625,0.22472262573254953,7.59375,False,True
2,6,0,3,0.22472262573254953,0.2247226257325495,True,-2.7755575615628914e-17,-1.2351037428986711e-14,0.1767578125,0.470947265625,37.376365147996694,8.561299910070375e-05,0.2247226257325495,True,5,4096,alphastar,0.021658937606326218,0.021658937606326218,True,0.18788986413677553,4915,1000,False,2.73703361;2.86671661;2.94694562;0.709150571;1.40639146;2.20281214,0.015625,0.22472262573254953,11.3125,False,True
3,10,0,1,0.004226668082960489,0.004226668082960478,True,-1.0408340855860843e-17,-2.462540386793401e-13,0.00439453125,0.188232421875,3.2541080039954977,8.538100519217551e-05,0.004226668082960478,True,5,4096,alphastar,0.02090487778781981,0.02090487778781981,True,0.005176113647669377,331,1000,False,2.85467142;0.647594427,0.0009765625,0.004440786832558968,4.5,False,True
3,10,0,2,0.004226668082960489,0.004226668082960478,True,-1.0408340855860843e-17,-2.462540386793401e-13,0.003173828125,0.123046875,26.43703636000282,6.062800093786791e-05,0.004226668082960478,True,5,4096,alphastar,0.02090487778781981,0.02090487778781981,True,0.0021573731230024864,2322,1000,False,2.65972668;2.90410438;5.70022554;1.05530982,0.0009765625,0.004440786832558968,3.25,False,True
3,10,0,3,0.004226668082960489,0.004226668082960478,True,-1.0408340855860843e-17,-2.462540386793401e-13,0.0078125,0.209228515625,42.75058133499988,6.060499435989186e-05,0.004226668082960478,True,5,4096,alphastar,0.02090487778781981,0.02090487778781981,True,0.006333084238660982,3300,1000,False,1.29341591;3.06291092;1.53094392;0.572725293;0.977428633;1.76323002,0.0009765625,0.004440786832558968,8.0,False,True
4,14,0,1,-0.16647159836980444,-0.16647159836980446,True,-2.7755575615628914e-17,-1.6672859447154428e-14,0.000732421875,0.1298828125,10.1728574689987,8.26499963295646e-05,-0.16647159836980446,True,5,4096,alphastar,0.014305613012812659,0.014305613012812659,True,0.0003880489364952748,391,1000,False,-0.258753188;0.603038321,6.103515625e-05,-0.1302250954906357,12.0,False,False
4,14,0,2,-0.16647159836980444,-0.16647159836980446,True,-2.7755575615628914e-17,-1.6672859447154428e-14,0.001220703125,0.164794921875,125.70720482600154,7.090500002959743e-05,-0.16647159836980446,True,5,4096,alphastar,0.014305613012812659,0.014305613012812659,True,0.00135295994610731,3468,1000,False,2.82483402;-0.154820814;0.459359798;1.47502237,6.103515625e-05,-0.1302250954906357,20.0,False,False
4,14,0,3,-0.16647159836980444,-0.16647159836980446,True,-2.7755575615628914e-17,-1.6672859447154428e-14,0.0009765625,0.162109375,179.48905217800348,6.654299795627594e-05,-0.16647159836980446,True,5,4096,alphastar,0.014305613012812659,0.014305613012812659,True,0.0015141043763964405,4701,1000,False,2.87617879;3.02008196;3.02874932;0.633057972;2.93232386;3.84556591,6.103515625e-05,-0.1302250954906357,16.0,False,False
5,18,0,1,-0.14775608040467883,-0.14358430179050707,False,0.004171778614171756,2.8234226319119746,0.0,0.079833984375,55.21387506899919,8.968699694378302e-05,-0.1477560804046788,True,5,4096,alphastar,0.021406485264068013,0.021406485264068013,True,2.330047491028867e-05,337,1000,False,2.90058119;0.260631168,3.814697265625e-06,-0.06546833705518187,64.0,True,False
5,18,0,2,-0.14775608040467883,-0.1477560804046788,True,2.7755575615628914e-17,1.878472651657455e-14,0.000244140625,0.02685546875,288.025340907996,0.00010062799992738292,-0.1477560804046788,True,5,4096,alphastar,0.021406485264068013,0.021406485264068013,True,6.294299035414279e-05,1888,1000,False,-0.308543475;0.389198704;4.54807299;3.20124372,3.814697265625e-06,-0.06546833705518187,64.0,False,False
5,18,0,3,-0.14775608040467883,0.04363963994038397,False,0.1913957203450628,129.53491986310303,0.0,0.0244140625,445.6856330579976,0.0001025039964588359,-0.1477560804046788,True,5,4096,alphastar,0.021406485264068013,0.021406485264068013,True,1.2097516313378827e-11,2465,1000,False,-0.00129240808;4.71151841;2.34620694;1.4697455;5.82044789;0.912239979,3.814697265625e-06,-0.06546833705518187,64.0,True,False
